schedule_id;staff_id;volunteer_id;role_type;shift_date;start_time;end_time
SC001;S001;V001;Animal Trainer;11/27/2006;1:22 PM;4:12 PM
SC002;S002;V002;Volunteer Manager;4/8/2011;12:45 PM;9:14 PM
SC003;S003;V003;Shelter Cleaner;9/30/2015;9:10 AM;3:46 PM
SC004;S004;V004;Volunteer Manager;3/3/2018;1:24 PM;7:02 PM
SC005;S005;V005;Fundraising Manager;2/26/2007;3:34 PM;11:48 PM
SC006;S006;V006;Animal Trainer;12/25/2010;8:52 AM;8:04 PM
SC007;S007;V007;Veterinarian;3/10/2013;2:34 PM;10:24 PM
SC008;S008;V008;Adoption Coordinator;8/12/2022;12:55 PM;5:19 PM
SC009;S009;V009;Animal Caretaker;2/28/2006;4:39 PM;9:12 PM
SC010;S010;V010;Intake Specialist;10/24/2011;8:18 PM;11:50 PM
SC011;S011;V011;Animal Caretaker;7/26/2021;8:55 PM;11:02 PM
SC012;S012;V012;Volunteer Manager;1/18/2023;10:17 AM;3:01 PM
SC013;S013;V013;Fundraising Manager;12/12/2022;9:42 AM;6:26 PM
SC014;S014;V014;Animal Trainer;9/4/2023;1:47 PM;7:20 PM
SC015;S015;V015;Veterinarian Assistant;9/27/2014;11:24 AM;2:57 PM
SC016;S016;V016;Fundraising Manager;8/8/2015;9:48 AM;3:23 PM
SC017;S017;V017;Veterinarian;11/18/2018;1:58 PM;8:14 PM
SC018;S018;V018;Adoption Coordinator;1/24/2010;4:46 AM;1:26 PM
SC019;S019;V019;Animal Caretaker;3/17/2014;8:52 AM;2:11 PM
SC020;S020;V020;Adoption Coordinator;12/10/2009;3:53 PM;9:18 PM
SC021;S021;V021;Adoption Coordinator;1/24/2014;12:08 PM;4:53 PM
SC022;S022;V022;Veterinarian;7/26/2017;7:08 AM;5:08 PM
SC023;S023;V023;Adoption Coordinator;11/26/2017;7:50 AM;1:21 PM
SC024;S024;V024;Animal Caretaker;7/9/2021;12:21 AM;5:13 PM
SC025;S025;V025;Animal Caretaker;8/21/2019;4:23 AM;2:58 PM
SC026;S026;V026;Adoption Coordinator;11/16/2007;8:33 AM;5:14 PM
SC027;S027;V027;Animal Caretaker;7/21/2020;2:40 PM;10:25 PM
SC028;S028;V028;Intake Specialist;5/17/2023;7:07 AM;5:04 PM
SC029;S029;V029;Animal Caretaker;5/9/2025;11:13 AM;5:48 PM
SC030;S030;V030;Shelter Cleaner;3/19/2006;11:57 AM;5:21 PM
SC031;S031;V031;Shelter Cleaner;5/26/2009;2:11 PM;6:28 PM
SC032;S032;V032;Volunteer Manager;7/22/2018;7:27 AM;4:01 PM
SC033;S033;V033;Animal Trainer;3/30/2014;9:04 AM;6:55 PM
SC034;S034;V034;Volunteer Manager;5/9/2009;10:02 AM;1:54 PM
SC035;S035;V035;Volunteer Assistant;5/2/2023;4:26 PM;10:08 PM
SC036;S036;V036;Animal Trainer;7/13/2016;6:42 AM;2:46 PM
SC037;S037;V037;Animal Caretaker;1/31/2010;9:16 AM;4:51 PM
SC038;S038;V038;Shelter Cleaner;2/27/2015;9:50 AM;12:09 PM
SC039;S039;V039;Veterinarian Assistant;3/24/2025;9:27 AM;7:16 PM
SC040;S040;V040;Animal Trainer;9/27/2014;8:59 AM;6:39 PM
SC041;S041;V041;Fundraising Manager;7/16/2014;12:17 PM;9:40 PM
SC042;S042;V042;Shelter Cleaner;5/28/2005;3:53 PM;9:50 PM
SC043;S043;V043;Animal Caretaker;2/25/2009;11:42 AM;7:01 PM
SC044;S044;V044;Adoption Coordinator;5/30/2015;5:20 AM;1:18 PM
SC045;S045;V045;Shelter Cleaner;9/3/2013;11:35 AM;1:27 PM
SC046;S046;V046;Veterinarian Assistant;11/15/2020;7:29 AM;3:15 PM
SC047;S047;V047;Animal Caretaker;6/10/2023;7:50 AM;6:28 PM
SC048;S048;V048;Animal Caretaker;12/26/2006;1:47 PM;4:42 PM
SC049;S049;V049;Intake Specialist;5/10/2006;12:34 PM;5:11 PM
SC050;S050;V050;Shelter Cleaner;12/23/2005;9:56 AM;5:56 PM
